gridSize,numBlueAgents,numRedAgents,flagPlacementType,ninsts,nblocks
20,7,9,A,40735317,4588772
20,7,9,B,7485492,826962
20,7,9,C,32110529,3599615
20,9,1,A,24686702,2777355
20,9,1,B,6118516,680707
20,9,1,C,17109501,1916565
20,9,3,A,28290255,3181605
20,9,3,B,9255233,1029528
20,9,3,C,20206503,2256618
20,9,5,A,33134429,3726367
20,9,5,B,7347810,813790
20,9,5,C,24609429,2747250
20,9,7,A,39601337,4456860
20,9,7,B,8535468,945198
20,9,7,C,23141352,2586169
20,9,9,A,49839904,5617874
20,9,9,B,9705366,1075393
20,9,9,C,34359874,3848010
25,1,1,A,1786405,192679
25,1,1,B,1961636,211649
25,1,1,C,7517180,836556
25,1,3,A,7138592,792865
25,1,3,B,2851801,311568
25,1,3,C,17812969,2008485
25,1,5,A,11245151,1254056
25,1,5,B,4819265,531668
25,1,5,C,14363268,1609805
25,1,7,A,25644061,2885633
25,1,7,B,7821832,865861
25,1,7,C,24218020,2725429
25,1,9,A,37490479,4228084
25,1,9,B,13040449,1452154
25,1,9,C,29271421,3286747
25,3,1,A,7170340,800648
25,3,1,B,3025693,331964
25,3,1,C,11240157,1259818
25,3,3,A,11806160,1319635
25,3,3,B,4910254,540362
25,3,3,C,19850852,2230545
25,3,5,A,16185891,1811573
25,3,5,B,6820013,754339
25,3,5,C,19610205,2201617
25,3,7,A,30773946,3464431
25,3,7,B,9601472,1063717
25,3,7,C,29763425,3354940
25,3,9,A,42422460,4784508
25,3,9,B,14593075,1627142
25,3,9,C,35124910,3947605
25,5,1,A,16400562,1846004
25,5,1,B,5863756,649679
25,5,1,C,18715104,2108540
25,5,3,A,20679252,2324768
25,5,3,B,7578594,839541
25,5,3,C,25691492,2894549
25,5,5,A,25042987,2813846
25,5,5,B,9383802,1040816
25,5,5,C,30799458,3472573
25,5,7,A,40070753,4516567
25,5,7,B,13280049,1475213
25,5,7,C,38838060,4381742
25,5,9,A,51271369,5785618
25,5,9,B,17401330,1941424
25,5,9,C,45354587,5108168
25,7,1,A,26660627,3008107
25,7,1,B,8351165,929407
25,7,1,C,16573045,1860640
25,7,3,A,30877307,3479797
25,7,3,B,10398560,1155711
25,7,3,C,20903513,2345743
25,7,5,A,35073626,3948688
25,7,5,B,13496856,1501866
25,7,5,C,36882506,4152497
25,7,7,A,50586625,5707177
25,7,7,B,16651666,1853394
25,7,7,C,36557994,4113935
25,7,9,A,61290457,6918695
25,7,9,B,22322683,2490653
25,7,9,C,42238328,4749654
25,9,1,A,42141884,4771800
