gridSize,numBlueAgents,numRedAgents,flagPlacementType,block_jumps
25,7,5,C,4152497
25,7,7,A,5707177
25,7,7,B,1853394
25,7,7,C,4113935
25,7,9,A,6918695
25,7,9,B,2490653
25,7,9,C,4749654
25,9,1,A,4771800
25,9,1,B,1372796
25,9,1,C,2264945
25,9,3,A,5220519
25,9,3,B,1677365
25,9,3,C,2881649
25,9,5,A,5838829
25,9,5,B,2116145
25,9,5,C,4543940
25,9,7,A,7378118
25,9,7,B,2284212
25,9,7,C,4507620
25,9,9,A,8804597
25,9,9,B,2852334
25,9,9,C,4845342
30,1,1,A,207255
30,1,1,B,353766
30,1,1,C,1969484
30,1,3,A,1181738
30,1,3,B,633433
30,1,3,C,3241539
30,1,5,A,2408040
30,1,5,B,607026
30,1,5,C,2311179
30,1,7,A,4109653
30,1,7,B,798632
30,1,7,C,3086048
30,1,9,A,6950636
30,1,9,B,1468656
30,1,9,C,3334910
30,3,1,A,869217
30,3,1,B,611657
30,3,1,C,3094290
30,3,3,A,1791493
30,3,3,B,1066769
30,3,3,C,4797792
30,3,5,A,3045768
30,3,5,B,830735
30,3,5,C,2790880
30,3,7,A,4729270
30,3,7,B,1033279
30,3,7,C,3745866
30,3,9,A,7559585
30,3,9,B,1747819
30,3,9,C,4050123
30,5,1,A,2286734
30,5,1,B,1124230
30,5,1,C,2462277
30,5,3,A,3166891
30,5,3,B,1372731
30,5,3,C,3342771
30,5,5,A,4479884
30,5,5,B,1346079
30,5,5,C,4037457
30,5,7,A,6110886
30,5,7,B,1405553
30,5,7,C,5215666
30,5,9,A,8930367
30,5,9,B,1995728
30,5,9,C,4173965
30,7,1,A,4142242
30,7,1,B,1279431
30,7,1,C,4380565
30,7,3,A,4855397
30,7,3,B,1189397
30,7,3,C,5118758
30,7,5,A,6033670
30,7,5,B,1905933
30,7,5,C,5711053
30,7,7,A,7866993
30,7,7,B,1553264
30,7,7,C,7497827
30,7,9,A,10683309
30,7,9,B,2292345
30,7,9,C,5251741
30,9,1,A,7184259
30,9,1,B,1560927
30,9,1,C,6361130
30,9,3,A,7947510
30,9,3,B,1808009
30,9,3,C,7528116
30,9,5,A,9171235
30,9,5,B,2284141
30,9,5,C,7704301
30,9,7,A,11056934
30,9,7,B,2279135
30,9,7,C,8840927
30,9,9,A,13930604
30,9,9,B,2838436
30,9,9,C,6555774
35,1,1,A,378482
35,1,1,B,329888
35,1,1,C,1765714
35,1,3,A,1536713
35,1,3,B,374337
35,1,3,C,2273137
35,1,5,A,3349235
35,1,5,B,1544292
35,1,5,C,4853320
35,1,7,A,5909354
35,1,7,B,1469863
35,1,7,C,7355206
35,1,9,A,9974241
35,1,9,B,2358256
35,1,9,C,9147647
35,3,1,A,1349959
35,3,1,B,540131
35,3,1,C,2405743
35,3,3,A,2413955
35,3,3,B,724290
35,3,3,C,3634754
35,3,5,A,4331387
35,3,5,B,1900094
35,3,5,C,6218001
35,3,7,A,6881166
35,3,7,B,2635020
35,3,7,C,8617382
35,3,9,A,10932897
35,3,9,B,2546693
35,3,9,C,10180499
35,5,1,A,2977086
35,5,1,B,1034593
35,5,1,C,5127008
35,5,3,A,4012432
35,5,3,B,1223877
35,5,3,C,6645008
35,5,5,A,5906218
35,5,5,B,1908640
35,5,5,C,9172094
35,5,7,A,8520341
35,5,7,B,2640959
35,5,7,C,11465928
35,5,9,A,12511661
35,5,9,B,3729817
35,5,9,C,12073857
35,7,1,A,5592328
35,7,1,B,1898038
35,7,1,C,7049128
35,7,3,A,6618640
35,7,3,B,2123490
35,7,3,C,8522188
35,7,5,A,8507803
35,7,5,B,3000579
35,7,5,C,11064262
35,7,7,A,11128006
35,7,7,B,3759296
35,7,7,C,13502563
35,7,9,A,15024893
35,7,9,B,4664008
35,7,9,C,14952698
35,9,1,A,7547614
35,9,1,B,2477991
35,9,1,C,8925666
35,9,3,A,8547153
35,9,3,B,2672156
35,9,3,C,10378914
35,9,5,A,10373430
35,9,5,B,3302499
35,9,5,C,12726219
35,9,7,A,12899266
35,9,7,B,3933405
35,9,7,C,18074542
35,9,9,A,16720152
35,9,9,B,5026638
35,9,9,C,19522408
40,1,1,A,492739
40,1,1,B,789876
40,1,1,C,2423352
40,1,3,A,1741184
40,1,3,B,832383
40,1,3,C,2833122
40,1,5,A,3258966
40,1,5,B,1301217
40,1,5,C,4105645
40,1,7,A,6688136
40,1,7,B,1926272
40,1,7,C,5451844
40,1,9,A,11371609
40,1,9,B,3596127
40,1,9,C,9280719
40,3,1,A,1989979
40,3,1,B,822690
40,3,1,C,2183140
40,3,3,A,3246896
40,3,3,B,1222174
40,3,3,C,3636725
40,3,5,A,4691613
40,3,5,B,1615287
40,3,5,C,4693060
40,3,7,A,8097381
40,3,7,B,2132318
40,3,7,C,6204995
40,3,9,A,12788359
40,3,9,B,3609589
40,3,9,C,11000162
40,5,1,A,4523906
40,5,1,B,1483496
40,5,1,C,3421635
40,5,3,A,5696258
40,5,3,B,1755913
40,5,3,C,4543710
40,5,5,A,7164111
40,5,5,B,2371731
40,5,5,C,6768379
40,5,7,A,10498687
40,5,7,B,2864279
40,5,7,C,8407610
40,5,9,A,15215831
40,5,9,B,4480847
40,5,9,C,12381103
40,7,1,A,8504066
40,7,1,B,1833011
40,7,1,C,6306727
40,7,3,A,9581493
40,7,3,B,2092644
40,7,3,C,7398556
40,7,5,A,11285090
40,7,5,B,2612345
40,7,5,C,9024079
40,7,7,A,14320620
40,7,7,B,3219271
40,7,7,C,11617956
40,7,9,A,19113741
40,7,9,B,4824492
40,7,9,C,15635306
40,9,1,A,11447932
40,9,1,B,3164746
40,9,1,C,9753410
40,9,3,A,12525359
40,9,3,B,3400245
40,9,3,C,10848164
40,9,5,A,14228956
40,9,5,B,3910703
40,9,5,C,12682430
40,9,7,A,17284688
40,9,7,B,4566425
40,9,7,C,15610459
40,9,9,A,22105961
40,9,9,B,6274260
40,9,9,C,19901662
45,1,1,A,854970
45,1,1,B,943924
45,1,1,C,5386774
45,1,3,A,3240051
45,1,3,B,1933746
45,1,3,C,8388839
